link_name,profile,loc,type
"BLUEGATE PRIVATE NUR/PRY SCHOOL, Mofo",3137,Ikorodu,Privately owned
"BLUESLEEVES PRIVATE SCHOOL, Alasia",3667,Oshodi-Isolo,Privately owned
"BODMARK NURSERY & PRIMARY SCHOOL, Adamo",106734,Ikorodu,Privately owned
"BOF NURSERY & PRIMARY SCHOOL, Aguda ",49536,Surulere,Privately owned
"BOFAT PRIVATE SCHOOL, Idimu",6574,Alimosho,Privately owned
"BOJADS COLLEGE, Ikorodu",79072,Ikorodu,Privately owned
"BOLA IGE MILLENNIUM SENIOR SECONDARY SCHOOL, Tolu.",2136,Ajeromi LGA,State owned
"BOLA IMMACULATE COLLEGE, Agbede",48995,Ikorodu,Privately owned
"BOLA IMMACULATE PRIVATE SCHOOL, Owutu",10090,Ikorodu,Privately owned
"BOLA MEMORIAL (ANG) PRIMARY SCHOOL,  Ikeja",2326, Ikeja,State owned
"BOLADE JUNIOR GRAMMAR SCHOOL, Oshodi",1750,Oshodi-Isolo,State owned
"BOLADE SENIOR GRAMMAR SCHOOL, Oshodi",2436,Oshodi-Isolo,State owned
"BOLAFADE NURSERY & PRIMARY SCHOOL, Lagos ",8553,Lagos-Island,Privately owned
"BOLANLE NURSERY & PRIMARY SCHOOL,  Ifako-Gbagada",105570,Kosofe,Privately owned
"BOLDAMIDE SCHOOLS, Ilasamaja",6829, Mushin,Privately owned
"BOLTHINE COLLEGE, Aboru",8066,Alimosho,Privately owned
"BOLU GENERATION NUR. & PRY SCHOOL, Ilupeju",64331, Mushin,Privately owned
"BOLUDURO NURSERY & PRIMARY SCHOOL, Hamadiya",5480,Ifako/Ijaiye,Privately owned
"BOMAK COLLEGE, Ijesha",49196,Surulere,Privately owned
"BOMAK NURSERY & PRIMARY SCHOOL, Ijesha",4610,Surulere,Privately owned
"BONJEH HIGH SCHOOL, Okokomaiko",2988,Ojo,Privately owned
"BONNY CAMP PRIMARY SCHOOL, V.Island",682,Eti-Osa,State owned
"BOOKMAN ACADEMY, Satellite Town",5569,Amuwo-Odofin,Privately owned
"BOPTON COMPREHENSIVE COLLEGE, Abule-Egba.",11818,Alimosho,Privately owned
"BORIK COMPREHENSIVE SECONDARY SCHOOL, Okerube",3571,Alimosho,Privately owned
"BOSEDE IDEHEN INTERNATIONAL ACADEMY, Abule-Egba ",5560,Alimosho,Privately owned
"BOSOL COLLEGE, Aboru",5502,Alimosho,Privately owned
"BOSOL GODS WILL NUR/PRY SCHOOL, Aboru",4155,Alimosho,Privately owned
"BOSOM PRIVATE SCHOOL, Olorunsogo",6965,Mushin,Privately owned
"BOSTOM NURSERY PRIMARY SCHOOL, Owutu",7706,Ikorodu,Privately owned
"BOSWORTH COLLEGE, Ewu Town",5276,Oshodi-Isolo,Privately owned
"BOVIC NURSERY & PRIMARY SCHOOL, Oworosoki",4137,Kosofe,Privately owned
"BOWINE INTERNATIONAL SCHOOL, Alasia - Ajah",106236,Ibeju-Lekki,Privately owned
"BOWINE NURSERY & PRIMARY SCHOOL, Alasia - Ajah",106240,Eti-Osa,Privately owned
BOYS JUNIOR ACADEMY ,870,Lagos-Island,State owned
"BRAINFIELD COLLEGE, Alagbado",5815,Alimosho,Privately owned
"BRAINPOINT COLLEGE, Ebute-Metta",5526,Lagos-Mainland,Privately owned
"BRAINSFIELD MONTESSORI SCHOOL, Akowonjo/Shasha",3496,Alimosho,Privately owned
"BRAINSTAR COLLEGE, Okota",7850,Oshodi-Isolo,Privately owned
"BRAINSTAR INTERNATIONAL SCHOOL, Ago-Okota",4598,Oshodi-Isolo,Privately owned
"BRAZEN WALLS NURSERY & PRIMARY SCH,  Ikola-Odunsi",3292,Alimosho,Privately owned
"BREAKTHROUGH NUR & PRY SCHOOL, Ikorodu",105872,Ikorodu,Privately owned
"BREDEEMER NUR/PRY SCHOOL, Jakande",4605,Ojo,Privately owned
"BRIDGE INTERNATIONAL NURSERY & PRIMARY SCHOOL, Egan",105730,Alimosho,Privately owned
"BRIDGE INTERNATIONAL NURSERY & PRIMARY SCHOOL, Ijegun",105728,Alimosho,Privately owned
"BRIDGING GAPS NURSERY/PRIMARY SCHOOL, Lekki",105909,Eti-Osa,Privately owned
"BRIGADE NURSERY/PRIMARY SCHOOL, Ojo",2418,Ojo,State owned
"BRIGADE PRIMARY SCHOOL,  Maryland",2327, Ikeja,State owned
"BRIGGS GATE COMPREHENSIVE COLLEGE, Ayobo-Ipaja",8879,Alimosho,Privately owned
"BRIGGS GATE COMPREHENSIVE COLLEGE, Ilupeju",3637, Mushin,Privately owned
"BRIGHT & SUCCESS SCHOOL, Idimu.",76077,Alimosho,Privately owned
"BRIGHT BEGINNING SCHOOL, Abule Egba",106079,Agege,Privately owned
"BRIGHT DESTINY SCHOOL, Mushin",6663, Mushin,Privately owned
"BRIGHT EXCELLENCE CHILDREN SCHOOL, Ilogbo",4653,Ojo,Privately owned
"BRIGHT FUTURE COLLEGE, Shomolu",3813,,Privately owned
"BRIGHT FUTURE INTERNATIONAL NUR/PRY SCHOOL, Shomolu",8478, Shomolu,Privately owned
"BRIGHT HOPE CHILDREN SCHOOL, Ogba",61159,Agege,Privately owned
"BRIGHT LEADERS PRIVATE SCHOOL, Olowoira",9390,Kosofe,Privately owned
"BRIGHT PEARL SCHOOL, Ijeshatedo",12169,Surulere,Privately owned
"BRIGHT RAINBOW INTERNATIONAL SCHOOL, Papa-Ajao",4628, Mushin,Privately owned
"BRIGHT STAR SCHOOLS, Ilaje-Bariga",4376, Shomolu,Privately owned
"BRIGHT VILLE COLLEGE, Oshodi",4654,Oshodi-Isolo,Privately owned
"BRIGHTER GLORY PRIVATE NURSERY & BASIC SCH,  Odogunyan",3297,Ikorodu,Privately owned
"BRIGHTER HOPE COMPREHENSIVE HIGH SCHOOL, Ogba Asade ",4034,Agege,Privately owned
"BRIGHTEST & BEST NUR & PRY SCHOOL, Festac Town",51022,Amuwo-Odofin,Privately owned
"BRIGHTFIELD  COLLEGE, Iloro-Dopemu",49491,Agege,Privately owned
"BRIGHTFIELD NURSERY/PRIMARY SCHOOL, Iloro",105937,Agege,Privately owned
BRIGHTON HALL  NUR/PRY ,105462,,Privately owned
"BRILLIANT  ZINNIA NURSERY PRIMARY SCHOOL, Agege",105712,Agege,Privately owned
"BRILLIANT ACADEMY, Iloro-Mangoro",4808,Agege,Privately owned
"BRILLIANT CHILD COLLEGE, Akoka ",5703, Shomolu,Privately owned
"BRILLIANT ESTEEM NURSERY & PRIMARY, Obawole",7955,Ifako/Ijaiye,Privately owned
"BRILLIANT STARS NUR/PRY SCHOOL, Ijegun",9947,Alimosho,Privately owned
"BRITISH INTERNATIONAL SCHOOL, Victoria Island",10676,Eti-Osa,Privately owned
British Lighthouse International College,105855,,
"BROADWAY INTERNATIONAL COLLEGE, Surulere",105594,Surulere,Privately owned
"BROADWAY INTERNATIONAL SCHOOL, SURULERE",105595,Surulere,Privately owned
"BROADWAY JUNIOR SCHOOL, Kirikiri",2960,Ajeromi LGA,Privately owned
"BROADWAY JUNIOR SCHOOL, Kirikiri",3279,Amuwo-Odofin,Privately owned
"BROOK STONES NURSERY PRIMARY SCHOOL, Kosofe",105766,Kosofe,Privately owned
"BROOKS MONTESSORI SCHOOL, Odogunyan",77180,Ikorodu,Privately owned
"BROWNSVILLE COLLEGE, Ikoyi",105601,Eti-Osa,Privately owned
"BSJ NURSERY & PRIMARY SCHOOL, Agege",7055,Agege,Privately owned
"BUFAD NURSERY & PRIMARY SCHOOL, Bariga",7947,Shomolu,Privately owned
"BUILDERS SECONDARY SCHOOL, Obawole",61079,Ifako/Ijaiye,Privately owned
"BUILDERS' HUB VOCATIONAL ACADEMY, Gbagada",106409,Kosofe,Privately owned
"BUKDEL COLLEGE, Owode Ibeshe",106197,Ikorodu,Privately owned
"BUKKRIS ADEOLA NURSERY & PRIMARY SCHOOL, Akesan  ",5744,Alimosho,Privately owned
"BUKYFIELD NURSERY & PRIMARY SCHOOL, Ketu",10986,Kosofe,Privately owned
"BULKDEL NURSERY & PRIMARY SCHOOL, Ibeshe Titun",3787,Ikorodu,Privately owned
"BUMSY-JO NURSERY & PRIMARY SCHOOL, Somolu",10001,Shomolu,Privately owned
"BUNID MONTESSORI CHILDREN SCHOOL, Tedi",106569,Ojo,Privately owned
"BURKINSHEEN INTERNATION SECONDARY SCHOOL, Ijaiye Ojokoro  ",5176,Ifako/Ijaiye,Privately owned
"BUSYMINDS NURSERY/PRIMARY SCHOOL, LEKKI",105783,Eti-Osa,Privately owned
"BUTTERCUPS SCHOOL, Victoria Island",106071,Eti-Osa,Privately owned
"C.A.C COLLEGE, Itire",10680, Mushin,Privately owned
"C.A.C KIDDIES NURSERY & PRIMARY SCHOOL, Ladi-Lak",11367, Shomolu,Privately owned
"C.A.C. FAVOURED NUR/PRY SCHOOL, Mile 12",3371,Kosofe,Privately owned
"C.M.S GIRLS SENIOR GRAMMAR SCHOOL 1, Bariga",2359, Shomolu,State owned
"C.M.S GIRLS SENIOR GRAMMAR SCHOOL II, Bariga",2351,Shomolu,State owned
"C.M.S GIRLS SNR GRAM SCHL II, Bariga",2369, Shomolu,State owned
"C.M.S. GRAMMAR SCHOOL, Bariga",3626, Shomolu,Privately owned
"C.M.S.PRIMARY SCHOOL, Bariga",11876,,State owned
"CAC NURSERY/PRIMARY SCHOOL, Mushin",49133,,Privately owned
"CACHET BEARERS COLLEGE, Baruwa",105458,Alimosho,Privately owned
"CACHET BEARERS MONTESSORI SCHOOL, Ipaja",1820,Alimosho,Privately owned
"CACTUS NURSERY & PRIMARY SCHOOL, Ikotun ",106741,Alimosho,Privately owned
"CACTUS NURSERY PRIMARY SCHOOL, Ikotun",106445,Alimosho,Privately owned
"CAL COLLEGE, Egbeda",5289,Alimosho,Privately owned
Caleb British International School,105828,,
"CALEB INTERNATIONAL COLLEGE, Lekki",5501,Eti-Osa,Privately owned
"CALEB INTERNATIONAL COLLEGE, Magodo",3455,Kosofe,Privately owned
"CALEB INTERNATIONAL PRIMARY SCHOOL, Ikosi ",11040,Kosofe,Privately owned
"CAMBRIDGE COLLEGE, Ikeja",7984, Ikeja,Privately owned
"CANAAN COLLEGE, Jankara ",5287,Ifako/Ijaiye,Privately owned
"CANADIAN GEM NUR. & PRY SCHOOL, Eric Moore",105924,Surulere,Privately owned
"CANAL NUR /PRY SCHOOL , Orile",2086,Surulere,State owned
"CANDACE INTERNATIONAL SCHOOL, Oshodi",106636,Oshodi-Isolo,Privately owned
"CANON JAMES PEARSE ANG. COLLEGE, Iwaya",6948,Lagos-Mainland,Privately owned
"CANTERBURY  INTERNATIONAL SCHOOL, Ajah",105980,Eti-Osa,Privately owned
"CANTERBURY INTER. HIGH SCHOOL, Lekki",5646,Eti-Osa,Privately owned
"CAPITAL MODEL CITY NUR. & PRY SCHOOL, Satellite Town",105915,Amuwo-Odofin,Privately owned
"CAPSTONEVILE PRIVATE SCHOOL, Iju-Ishaga",77341,Ifako/Ijaiye,Privately owned
"CARAMOT SCHOOL,  Lady Lak",11132, Shomolu,Privately owned
"CARDOSO CATHOLIC SECONDARY SCHOOL, Ajegunle",3198,Ajeromi LGA,Privately owned
"CARDOSO JUNIOR HIGH SCHOOL,  Badia-Ijora",2133,Ajeromi LGA,State owned
"CARDOSO PRIMARY SCHOOL,  Awodi-Ora",2658,Ajeromi LGA,State owned
"CARDOSO SENIOR HIGH SCHOOL, Ijora-Badia",2137,Ajeromi LGA,State owned
"CAREER COMPREHENSIVE SECONDARY SCHOOL, Okokomaiko",10538,Ojo,Privately owned
CARING HANDS NURSERY PRIMARY SCHOOL,105309,,Privately owned
"CARITAS COLLEGE, Ojo",5442,Ojo,Privately owned
"CARO FAVOURED COLLEGE, Awodi-Ora",3401,Ajeromi LGA,Privately owned
"CAROL SCHOOL NURSERY & PRIMARY SCHOOL, Agidingbi",4185, Ikeja,Privately owned
"CAROLINE INTERNATIONAL SCHOOL, Onike-Yaba",8534,Lagos-Mainland,Privately owned
"CARRINTON COLLEGE, Ajao Estate",59224,Oshodi-Isolo,Privately owned
CATCH THEM YOUNG NURSERY PRIMARY SCHOOL ,105434,,Privately owned
"CATHEDRAL OF ST. JUDE PRIVATE NUR/PRY SCHOOL, Ebute-Metta",10061,Lagos-Mainland,Privately owned
"CATHOLIC GIRLS PRIMARY SCHOOL,  Ebute-Metta",1483,Lagos-Mainland,State owned
"CATLAD COLLEGE, Atapa Command",106179,Alimosho,Privately owned
"CATLAD PRIVATE ACADEMY (NUR/PRY), Command-Ipaja",62683,Alimosho,Privately owned
"CAYLEY COLLEGE, Agidingbi",5456, Ikeja,Privately owned
"CEB NURSERY & PRIMARY SCHOOL, Ajegunle",4564,Ajeromi LGA,Privately owned
"CEDAR COLLEGE, Baruwa - Ipaja",5031,Alimosho,Privately owned
CEDAR GROVE NURSERY PRIMARY SCHOOL ,105350,,Privately owned
"CEDAR GROWS COLLEGE, Bogije",106105,Ibeju-Lekki,Privately owned
"CEDAR GROWS NURSERY & PRIMARY SCHOOL, Bogije",106128,Ibeju-Lekki,Privately owned
"CEDAR OAK NURSERY & PRIMARY SCHOOL, Ajah",106448,Eti-Osa,Privately owned
"CEDARWOOD NUR. & PRY SCHOOL, Mowo Kekere",77360,Ikorodu,Privately owned
"CEDEC INTERNATIONAL NUR & PRY SCHOOL, Ajah.",106459,Eti-Osa,Privately owned
"CEDEC INTERNATIONAL SECONDARY SCHOOL, Olodi Apapa ",5037,Ajeromi LGA,Privately owned
"CEDRUS ACADEMY NURSERY PRIMARY SCHOOL, Alimosho",105355,Alimosho,Privately owned
"CELEBRITY COLLEGE, Ojo",64467,Ojo,Privately owned
"CELILIES FOUNDATION NUR. PRY SCHOOL, Satellite Town",77346,Amuwo-Odofin,Privately owned
"CEMAK CHILDREN SCHOOL, Surulere",3709, Mushin,Privately owned
"CENTCAS SCHOOL, Lowa Estate",105699,Ikorodu,Privately owned
"CENTER FOR CULTURAL & CREATIVE ARTS/CRAFT, Badagry",2227, Badagry ,State owned
CENTER FOR VOCATIONAL STUDIES,1413, Ikeja,State owned
"CENTRAL BAPTIST NUR & PRY SCHOOL, Ebute-Metta",6830,Lagos-Mainland,Privately owned
"CENTRAL JUNIOR  HIGH SCHOOL, Okota",1322,Oshodi-Isolo,State owned
"CENTRAL NUR/PRY SCHOOL,  Festac Town",193,Amuwo-Odofin,State owned
"CENTRAL NUR/PRY SCHOOL,  Kirikiri",2166,Amuwo-Odofin,State owned
"CENTRAL PRIMARY SCHOOL,  Orile-Iganmu",2012,Surulere,State owned
"CENTRAL PRIMARY SCHOOL, Ikeja",2341, Ikeja,State owned
"CENTRAL PRIMARY SCHOOL, Oshodi",2462,Oshodi-Isolo,State owned
"CENTRAL SENIOR HIGH SCHOOL, Okota",1821,Oshodi-Isolo,State owned
"CENTRE FOR INNOVATIVE TEACHING & LEARNING, Ikeja",106463,Ikeja,Privately owned
"CHACY COMPREHENSIVE SECONDARY SCHOOL, Mile 12 ",5619,Kosofe,Privately owned
"CHADSWORTH INTERNATIONAL SCHOOL, Lekki",49276,Eti-Osa,Privately owned
"CHALKHEEL COLLEGE, Fagba Iju",10855,Ifako/Ijaiye,Privately owned
"CHAMPIONS BAPTIST ACADEMY, Festac Town ",106228,Amuwo-Odofin,Privately owned
"CHAPELVILLE NURSERY & PRIMARY SCHOOL, Ipakodo",106068,Ikorodu,Privately owned
"CHARDOTH NURSERY/PRIMARY SCHOOL, Igbogbo",4151,Ikorodu,Privately owned
"CHARISMARTIN INTERNATIONAL SCHOOLS, Gbaga",10499,Ikorodu,Privately owned
"CHARLEMMA NUR/PRY SCHOOL, Mushin",3532, Mushin,Privately owned
"CHEMLINE ACADEMY, Ikeja",3698, Ikeja,Privately owned
"CHERISHED CHILD PRIVATE SCHOOL, Ijegun",11676,Alimosho,Privately owned
"CHERUBIM & SERAPHIM COLLEGE, Surulere",77382,Surulere,Privately owned
"CHERUBIM & SERAPHIM PRY SCHL,  Igbo-Alejo",192,Amuwo-Odofin,State owned
"CHERUBIM & SERAPHIM PRY SCHOOL, Majidun",850,Ikorodu,State owned
CHERUBIM & SERAPHIM SCHOOL II,12312,Ikorodu,State owned
"CHERUBIN & SERAPHIN COLLEGE, Surulere",77413,Surulere,Privately owned
"CHI-BEN COLLEGE, Iba New Site",5508,Ojo,Privately owned
"CHIJAY KINGDOM COLLEGE, Sango",106114,Badagry,Privately owned
"CHIJAY KINGDOM KIDS NURSERY & PRIMARY SCHOOL, Sango-Badagry",3888, Badagry ,Privately owned
"CHILD & WORLD MISSION SCHOOL, A/Egba",4186,Ifako/Ijaiye,Privately owned
"CHILD OF PROMISE NURSERY PRIMARY SCHOOL, Ajah",105555,Eti-Osa,Privately owned
"CHILD TENDERHANDS NUR/PRY SCHOOL, Awoyaya ",106157,Ibeju-Lekki,Privately owned
"CHILDLINE PRIVATE SCHOOL, Ikeja",5012,Ikeja,Privately owned
"CHILDREN COMPANION NUR/PRY SCHOOL, Aguda-Ogba",4456, Ikeja,Privately owned
"CHILDREN'S HOMESTEAD NURSERY & PRIMARY SCHOOL, Ajah",106501,Eti-Osa,Privately owned
"CHILDRENS FOUNDATION SCHOOL, Ilupeju",4421, Mushin,Privately owned
"CHILDRENS PALACE NUR & PRY SCHOOL, Igbogbo",50943,Ikorodu,Privately owned
CHILDRENS WORLD NUR/PRY SCHOOL,2048,Oshodi-Isolo,Privately owned
CHILDS FOUNTAIN SCHOOLS,1850,Alimosho,Privately owned
"CHILDS WILL PRIVATE SCHOOL, Ijeshatedo",49169,Surulere,Privately owned
"CHILDS WORLD NURSERY & PRIMARY SCHOOL, Coker",4090,Surulere,Privately owned
"CHILDWORTH NUR/PRY SCHOOL, Iledu-Araromi",48732, Badagry ,Privately owned
"CHIMIC NURSERY & PRIMARY SCHOOL, Mushin",7108, Mushin,Privately owned
"CHOSEN SEED NURSERY & PRIMARY SCHOOL, Oke-Afa",49226,Oshodi-Isolo,Privately owned
"CHOSEN TREASURE NURSERY & PRIMARY SCHOOL, Ojo",3631,Ojo,Privately owned
"CHRIS COLLEGE, Ketu",3495,Kosofe,Privately owned
"CHRIS KIDDIES N/P SCHOOL, Agboyi-Ketu",3504,Kosofe,Privately owned
"CHRIS-FLOURISH CHILDREN SCHOOL, Alakuko",4290,Ifako/Ijaiye,Privately owned
"CHRISFIELD PRIVATE SCHOOL, (CHRISFIELD JUNIOR NUR. & PRY SCHOOL), Itamaga",9042,Ikorodu,Privately owned
"CHRISLAND COLLEGE,  Idimu ",3073,Alimosho,Privately owned
"CHRISLAND HIGH SCHOOL, Ajah",5565,Eti-Osa,Privately owned
"CHRISLAND HIGH SCHOOL, Ikeja",5580, Ikeja,Privately owned
"CHRISLAND SCHOOL, Opebi",6952, Ikeja,Privately owned
"CHRISLAND SCHOOL, V.G.C",7000,Eti-Osa,Privately owned
"CHRISMEON COLLEGE, Abule Egba",106542,Alimosho,Privately owned
"CHRISMODE NUR/PRY SCHOOL,  Ajegunle-Agege",4114,Agege,Privately owned
"CHRIST ACADEMY HIGH SCHOOL, Abaranje",3099,Alimosho,Privately owned
"CHRIST ACADEMY INTERNATIONAL NUR/PRY SCH, Ikotun",3096,Alimosho,Privately owned
"CHRIST ANGLICAN MISSION NUR/PRY SCHOOL, Age-Mowo",10159, Badagry ,Privately owned
"CHRIST APOSTOLIC CHURCH PRY SCHOOL, Otubu",2766,Agege,State owned
"CHRIST ASSEMBLY PRIMARY SCHOOL, Araromi-Olodi",129,Ajeromi LGA,State owned
"CHRIST CARES NUR & PRY SCHOOL, Ijeshatedo",3781,Surulere,Privately owned
"CHRIST CARES NURSERY & PRIMARY SCHOOL, Agodo-Egbe",3609,Alimosho,Privately owned
"CHRIST CENTRAL PRIMARY SCHOOL, Ilupeju",808,,State owned
"CHRIST CHURCH (UNA)PRIMARY SCHL,  Oyingbo",1958,Lagos-Mainland,State owned
"CHRIST CHURCH CATHEDRAL PRY SCH,  Lagos",1197,Lagos-Island,State owned
CHRIST CHURCH PRIMARY (UNA) Odunfa,1950,Lagos-Mainland,State owned
"CHRIST CHURCH PRIMARY SCHOOL, Epe",2752,Epe,State owned
"CHRIST LIFEFORTE SCHOOL, Shasha",11203,Alimosho,Privately owned
CHRIST LIGHT NUR/PRY SCHOOL  Oko-Oba,4063,Agege,Privately owned
"CHRIST THE KING INTERNATIONAL SCHOOL, Gbagada ",5370,Kosofe,Privately owned
"CHRIST THE KING INTERNL NUR. & PRY SCHOOL, Gbagada",8140,Kosofe,Privately owned
"CHRIST THE KINGS NUR/PRY SCHOOL, Ajegunle",72,Ajeromi LGA,State owned
"CHRIST THE REDEEMERS NURSERY/PRIMARY SCHOOL, Iwaya",8597,Lagos-Mainland,Privately owned
"CHRIST THE REDEMERS SECONDARY SCHOOL, Gbagada Phase II ",2974, Shomolu,Privately owned
"CHRIST THE SAVIOUR SCHOOLS, Egbeda",3424,Alimosho,Privately owned
"CHRIST THE ULTIMATE INTERNATIONAL COLL. ,Okota",3113,Oshodi-Isolo,Privately owned
"CHRIST THE ULTIMATE INTERNATIONAL SCHOOL, Ago Palace",11064,Oshodi-Isolo,Privately owned
"CHRIST-MITOTS INTERNATIONAL SCHOOL, Isawo-Ikorodu",3416,Ikorodu,Privately owned
"CHRISTADE NURSERY & PRIMARY SCHOOL, Okokomaiko",3659,Ojo,Privately owned
"CHRISTHILL CHILDREN SCHOOL, Amuwo-Odofin",5084,Amuwo-Odofin,Privately owned
"CHRISTHILL COLLEGE, Amuwo-Odofin",5083,Amuwo-Odofin,Privately owned
"CHRISTIAN COUNCIL OF NIGERIA NUR/PRY SCHOOL, Festac Town",4085,Amuwo-Odofin,Privately owned
CHRISTOGRACE VICTORY NUR SCHOOL,105273,,Privately owned
"CHRISTOLINE SECONDARY SCHOOL, Odongunyan",74483,Ikorodu,Privately owned
"CHRISTOPHER LIVINGSTONE NUR/PRY SCHOOL, Ilasamaja",4622, Mushin,Privately owned
"CHRISTS BLESSED ONES NURSERY & PRIMARY SCHOOL, Agbado Ijaiye",5086,Alimosho,Privately owned
"CHRISTUS SANCTUS NUR & PRY  SCHOOL, Gbaga",62752,Ikorodu,Privately owned
"CHRISWIL NURSERY & PRIMARY SCHOOL, Ota-Ona",106125,Ikorodu,Privately owned
"CHRYSOLYTE CHILDREN SCHOOL, Shogunle",49435,Oshodi-Isolo,Privately owned
"CIFMAN COLLEGE, Yaba",5226,Lagos-Mainland,Privately owned
"CINAC ROYAL COLLEGE, Iba",10928,Ojo,Privately owned
"CINAC ROYAL NUR/PRY SCHOOL, Ipaya-Iba",4200,Ojo,Privately owned
"CISTO ACADEMY NURSERY & PRIMARY SCHOOL, Abaranje",106709,Alimosho,Privately owned
"CITACAD NURSERY & PRIMARY SCHOOL, Magodo Isheri",5271,Kosofe,Privately owned
"CITIZENS COMPREHENSIVE COLLEGE, Temu",6324,Epe,Privately owned
"CITIZENS NURSERY & PRIMARY SCHOOL, Eyita Estate ",4491,Ikorodu,Privately owned
"CITY CAMPUS NUR. & PRY SCHOOL, Isolo",3523,Oshodi-Isolo,Privately owned
"CITY GATE NURSERY & PRIMARY SCHOOL, Oke-Oyinbo",9125,Epe,Privately owned
"CITY HILL NURSERY & PRIMARY SCHOOL, Lagos Island",12135,Lagos-Island,Privately owned
"CITY PRIDE SCHOOL, Mile 2",3985,Amuwo-Odofin,Privately owned
"CITY PRIDE SECONDARY SCHOOL, Festac Link",74425,Amuwo-Odofin,Privately owned
"CLAPAT COMPREHENSIVE COLLEGE, Ajangbadi",5660,Ojo,Privately owned
"CLASAM ACADEMY, Ijaiye",106455,Ifako/Ijaiye,Privately owned
"CLASAM NURSERY & PRIMARY SCHOOL, Ojokoro ",91581,Ifako/Ijaiye,Privately owned
Classic Chalcedony High School,105825,,
"CLASSIC COMPREHENSIVE COLLEGE, Ejigbo",5527,Oshodi-Isolo,Privately owned
"CLASSIC INTERNATIONAL SCHOOL, Ejigbo",7208,Oshodi-Isolo,Privately owned
"CLASSICAL NURSERY & PRIMARY SCHOOL,  Ikotun",3694,Alimosho,Privately owned
"CLAVONT INTERNATIONAL SCHOOL, Satetellite Town",9055,Amuwo-Odofin,Privately owned
CLEAR EDGE NURSRY PRIMARY SCHOOL,105315,,Privately owned
"CLEGG GIRLS JUNIOR HIGH SCHOOL, Surulere",978,Surulere,State owned
"CLEGG GIRLS SENIOR HIGH SCHOOL, Surulere",1357,Surulere,State owned
"CLEMENTINA AJIGBEDA MEMORIAL GIRLS PRY SCHOOL, Moshalasi",48849,Surulere,State owned
"CLEMENTINE HIGH SCHOOL, Alagbado",4624,Alimosho,Privately owned
"CLEMMY HIGH SCHOOL, Agodo-Egbe",3239,Alimosho,Privately owned
"CLEMMY NURSERY & PRIMARY SCHOOL, Agodo Egbe",3240,Alimosho,Privately owned
"CLEVER HALL, Alimosho",50950,Alimosho,Privately owned
"CLEVERLAND INTERNATIONAL SCHOOL, Orile Agege",5477,Agege,Privately owned
"CLEVERLAND NURSERY & PRIMARY SCHOOL, Ipaja",4289,Alimosho,Privately owned
Click Land N/P,105732,,
"COASTLAND MONTESSORI SCHOOL, Ota-Ona",64272,Ikorodu,Privately owned
"COKER JUNIOR SECONDARY SCHOOL, Surulere",975,Surulere,State owned
"COKER MEMORIAL PRIMARY SCHOOL, Ifako",2639,Ifako/Ijaiye,State owned
COKER NUR & PRY SCH 1,12444,Surulere,State owned
"COKER PRIMARY SCHOOL 2,  Coker",2004,Surulere,State owned
"COKER PRIMARY SCHOOL, Ibasa-Nla",12407,Ojo,State owned
"COKER SENIOR SECONDARY SCHOOL, Orile-Iganmu",1358,Surulere,State owned
"COMFAK NURSERY & PRIMARY SCHOOL, Alakuko",49434,Ifako/Ijaiye,Privately owned
"COMMAND DAY SECONDARY SCHOOL, Oshodi",105565,Oshodi-Isolo,State owned
"COMMUNITY  PRIMARY SCHOOL,  Abati",1914,Alimosho,State owned
"COMMUNITY  PRIMARY SCHOOL, Wasimi",2581,Kosofe,State owned
"COMMUNITY HGH SCHOOL,  Adeba",2098, Ibeju-Lekki,State owned
COMMUNITY HIGH SCHOOL,1360,Surulere,State owned
"COMMUNITY HIGH SCHOOL, WASIMI",1235,,State owned
COMMUNITY JNR. SEC. SCH. Ojo,1803,Ojo,State owned
COMMUNITY JUNIOR GRAMMAR SCHOOL,12291,Ikorodu,State owned
COMMUNITY JUNIOR GRAMMAR SCHOOL,105876,Surulere,State owned
"COMMUNITY JUNIOR GRAMMAR SCHOOL 1, Ipaja",9597,Alimosho,State owned
COMMUNITY JUNIOR GRAMMAR SCHOOL Ipaja,1782,Alimosho,State owned
"COMMUNITY JUNIOR GRAMMAR SCHOOL, Adelabu",977,Surulere,State owned
"COMMUNITY JUNIOR GRAMMAR SCHOOL, Akowonjo",12211,Alimosho,State owned
"COMMUNITY JUNIOR HGH SCHOOL, Orimedu",2099, Ibeju-Lekki,State owned
COMMUNITY JUNIOR HIGH SCHOOL,589,Eti-Osa,State owned
COMMUNITY JUNIOR HIGH SCHOOL,919, Ikeja,State owned
"COMMUNITY JUNIOR HIGH SCHOOL, Alapere",12318,Kosofe,State owned
"COMMUNITY JUNIOR HIGH SCHOOL, Lekki",12277, Ibeju-Lekki,State owned
"COMMUNITY JUNIOR HIGH SCHOOL, Orimedu",12226,Alimosho,State owned
"COMMUNITY JUNIOR HIGH SCHOOL, Surulere",1996,Surulere,State owned
"COMMUNITY JUNIOR SECONDARY  SCH,  Bayeku",908,Ikorodu,State owned
COMMUNITY JUNIOR SECONDARY SCHOOL,647, Mushin,State owned
"COMMUNITY JUNIOR SECONDARY SCHOOL, Agric Bus Stop",599,Ojo,State owned
"COMMUNITY JUNIOR SECONDARY SCHOOL, Bayeku",9761,Ikorodu,State owned
